"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"OCX","OncoCyte Corporation","4.39","228160723.7","n/a","United States","2015","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/ocx",
"OGEN","Oragenics Inc.","0.5","23056151.5","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ogen",
"PCG^E","Pacific Gas & Electric Co.","19.99","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^e",
"PCG^G","Pacific Gas & Electric Co.","19.2307","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^g",
"PCG^H","Pacific Gas & Electric Co.","18.1","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^h",
"PCG^I","Pacific Gas & Electric Co.","17.37","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^i",
"PCG^A","Pacific Gas & Electric Co.","24.549","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^a",
"PCG^B","Pacific Gas & Electric Co.","22.23","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^b",
"PCG^C","Pacific Gas & Electric Co.","20.28","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^c",
"PCG^D","Pacific Gas & Electric Co.","20.55","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/pcg^d",
"PTN","Palatin Technologies, Inc.","1.42","288350069.18","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ptn",
"PZG","Paramount Gold Nevada Corp.","0.7683","20375280.6582","n/a","United States","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/pzg",
"PRK","Park National Corporation","99.35","1653876966.25","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/prk",
"PED","Pedevco Corp.","2.07","93747873.96","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ped",
"PFNX","Pfenex Inc.","6.29","198054481.71","n/a","United States","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pfnx",
"HNW","Pioneer Diversified High Income Trust","14.33","119408880.7","n/a","United States","2007","n/a","n/a","https://www.nasdaq.com/symbol/hnw",
"PLAG","Planet Green Holdings Corp","4.08","22430881.2","n/a","China","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/plag",
"PLG","Platinum Group Metals Ltd.","1.43","48251004.23","n/a","Canada","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/plg",
"PLYM","Plymouth Industrial REIT, Inc.","19.1","100431371.7","n/a","United States","2017","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/plym",
